id_venda,data_venda,id_cliente,id_produto,canal_venda,quantidade,preco_unitario
sal_2ebf83ca7ce2,2025-12-13 09:00:35,cus_96658dc10aa5,prd_23664e42a71c,ecommerce,2,109.90
sal_2949e053a32d,2025-12-13 17:20:18,cus_b42a15933072,prd_6442b103f637,ecommerce,1,299.90
sal_13078a7fe3c8,2025-12-13 19:58:58,cus_25d1cb23f872,prd_0347eab01a6c,ecommerce,3,688.60
sal_0bad3f49b740,2025-12-13 13:11:59,cus_b0026583b709,prd_3fb63c4ea3c2,ecommerce,1,164.99
sal_1324f7655f41,2025-12-13 17:18:29,cus_13af118ef4e8,prd_c62100cc281c,ecommerce,3,41.56
sal_a5b36f8fb59f,2025-12-13 16:51:07,cus_36595eecf105,prd_d0368e440753,ecommerce,1,34.90
sal_c51f9a683777,2025-12-13 13:36:43,cus_b0026583b709,prd_045813f96891,loja_fisica,2,128.69
sal_42e34ce989d9,2025-12-13 15:25:42,cus_a01814ad9247,prd_4a5427b33a63,ecommerce,3,78.90
sal_85881ecd8cbd,2025-12-13 13:48:17,cus_4209c24e0be2,prd_205f309c1a21,loja_fisica,1,33.24
sal_1ef8ab192816,2025-12-13 15:42:07,cus_f1a06ae11717,prd_23664e42a71c,ecommerce,3,93.42
sal_e801ec1def01,2025-12-13 19:40:58,cus_4209c24e0be2,prd_9239eec8982d,ecommerce,3,51.99
sal_0cacd7014cee,2025-12-13 17:26:44,cus_f50da5532735,prd_f063f46a7ef8,ecommerce,1,1428.99
sal_e01297f2cd1e,2025-12-13 08:33:28,cus_a8f8e01eaee8,prd_9239eec8982d,loja_fisica,1,46.79
sal_26aa62f8f717,2025-12-13 20:36:34,cus_a2e18141f826,prd_92c0ecf60a58,ecommerce,1,180.90
sal_1a432472e039,2025-12-13 15:57:32,cus_79d52b75f259,prd_ff35b88df534,ecommerce,1,201.31
sal_3638e9dabcda,2025-12-13 17:46:01,cus_639110db69ed,prd_815b38747487,loja_fisica,1,86.50
sal_aef19bf3d1a7,2025-12-13 12:34:03,cus_9d2dd4770a79,prd_38c1b898aecc,loja_fisica,1,140.90
sal_f19cbc777fee,2025-12-13 22:23:57,cus_639110db69ed,prd_2befc441dd56,loja_fisica,1,217.54
sal_c5ff10ca88bc,2025-12-13 16:41:55,cus_c8d383cfde0c,prd_045813f96891,ecommerce,1,128.69
sal_b080cfd4fa14,2025-12-13 08:48:01,cus_96658dc10aa5,prd_82cd17cb589d,ecommerce,1,44.90
sal_a489869d5f54,2025-12-13 11:22:09,cus_eae005fd3470,prd_cc3053305ba7,loja_fisica,1,555.21
sal_6a30ab1700c6,2025-12-13 15:15:13,cus_d2762f5968fe,prd_51511e44c92a,ecommerce,1,75.56
sal_1f3103a92d7e,2025-12-13 08:25:28,cus_8ad3c8745efb,prd_afd58e5fd09d,loja_fisica,1,451.90
sal_f93685b5f784,2025-12-13 14:36:20,cus_ec8d75866856,prd_6eca734f2e84,loja_fisica,1,193.79
sal_5bf947394dc6,2025-12-13 00:26:19,cus_eae005fd3470,prd_c62100cc281c,ecommerce,2,48.90
sal_fe7c4f4accf6,2025-12-13 18:03:22,cus_4209c24e0be2,prd_9adbaa3083e1,loja_fisica,1,93.50
sal_1f9c2555f58c,2025-12-13 11:11:48,cus_a8f8e01eaee8,prd_686e2aab873d,ecommerce,2,89.50
sal_6554b402c706,2025-12-13 15:35:26,cus_96658dc10aa5,prd_c62100cc281c,ecommerce,1,48.90
sal_a4d6ab9eed5d,2025-12-13 18:54:23,cus_a01814ad9247,prd_9a3dfc23b7a3,ecommerce,1,100.22
sal_3704eeee2042,2025-12-13 15:12:51,cus_f1eccf8e0d99,prd_9a3dfc23b7a3,ecommerce,1,89.67
sal_9905cc8395b4,2025-12-13 12:13:59,cus_cf84750c1fb4,prd_d8ec0b81e223,loja_fisica,2,316.11
sal_1a0364e74930,2025-12-13 16:25:58,cus_8ad3c8745efb,prd_92c0ecf60a58,ecommerce,1,171.85
sal_28db7fcd8150,2025-12-13 13:32:56,cus_2b1b3e2a1515,prd_4ee65ed59110,loja_fisica,1,37.71
sal_4e4fa17f7102,2025-12-13 21:20:26,cus_d36c11b261a6,prd_faf3fd1a4155,loja_fisica,1,97.75
sal_bd9aa2a46e39,2025-12-13 18:18:09,cus_cf84750c1fb4,prd_686e2aab873d,ecommerce,1,85.02
sal_84309512a4d0,2025-12-13 21:16:48,cus_884be6e0ce9a,prd_4e1abbd002eb,ecommerce,1,44.90
sal_54ed29de4c8b,2025-12-13 20:08:46,cus_f50da5532735,prd_045813f96891,loja_fisica,5,157.29
sal_6f3733315423,2025-12-13 15:52:42,cus_d36c11b261a6,prd_2293732b7542,ecommerce,1,68.90
sal_e76fbeb3f6a0,2025-12-13 09:32:29,cus_a9747473c5c6,prd_9b6e92e0766c,ecommerce,1,35.90
sal_5ca4af570606,2025-12-13 15:34:35,cus_78ab1cf16e12,prd_2293732b7542,loja_fisica,1,68.90
sal_35cae839e9a1,2025-12-13 18:51:58,cus_25d1cb23f872,prd_ff56c9132964,ecommerce,1,203.29
sal_6dd43b9583b8,2025-12-13 13:17:50,cus_639110db69ed,prd_8b22fd85d500,ecommerce,1,357.49
sal_ba5da338d3a9,2025-12-13 08:41:54,cus_b42a15933072,prd_84a009f1889d,ecommerce,1,32.90
sal_aada38afe551,2025-12-13 16:05:31,cus_fa3a88d1ccef,prd_951e09f3ecb1,ecommerce,4,53.89
sal_60333b0dfa91,2025-12-13 19:14:13,cus_6ff11137142d,prd_7dd7624b4d5f,ecommerce,1,253.21
sal_8f4543d45af6,2025-12-13 17:57:34,cus_ec8d75866856,prd_84a009f1889d,loja_fisica,1,36.19
sal_7504a1413d30,2025-12-13 18:59:04,cus_0ff4cceccc6f,prd_c62100cc281c,ecommerce,2,46.45
sal_437ff7c0256e,2025-12-13 18:48:47,cus_25c656241a9a,prd_728d12065bf5,loja_fisica,1,473.00
sal_8950ba8eaefa,2025-12-13 11:14:53,cus_d2762f5968fe,prd_51511e44c92a,ecommerce,1,97.79
sal_227af9427fc0,2025-12-13 14:17:50,cus_13af118ef4e8,prd_d22d1b8b1502,ecommerce,3,1149.90
sal_1d2a70b819fb,2025-12-13 18:05:49,cus_c3944101594c,prd_47a25ae10c23,ecommerce,1,88.99
sal_5e9b29441a10,2025-12-13 20:47:24,cus_508a15ccf0fa,prd_dfac11815029,ecommerce,1,189.00
sal_68cb0e77f46b,2025-12-13 12:05:11,cus_8fa04d3a5837,prd_c62100cc281c,ecommerce,1,48.90
sal_a3e03ef43cc3,2025-12-13 17:55:24,cus_71308b76151a,prd_d92ad43fa137,loja_fisica,2,63.55
sal_1eb5a62bdfb6,2025-12-13 00:36:33,cus_25d1cb23f872,prd_8b22fd85d500,ecommerce,1,324.99
sal_950deeac4d83,2025-12-13 11:17:26,cus_0ff4cceccc6f,prd_c29b93111bd9,ecommerce,3,186.21
sal_eb132fc7e4da,2025-12-13 16:29:06,cus_25c656241a9a,prd_2293732b7542,ecommerce,2,68.90
sal_4f198d36a74a,2025-12-13 22:21:27,cus_d4db3db9eccb,prd_84c0492c5dd9,loja_fisica,1,132.00
sal_957155481278,2025-12-13 20:30:20,cus_25d1cb23f872,prd_d500fa66507e,ecommerce,2,365.74
sal_ad8e0bd2b0de,2025-12-13 23:20:24,cus_0ff4cceccc6f,prd_e580cb77e94a,ecommerce,3,107.90
sal_8f863e90930e,2025-12-13 00:43:49,cus_f50da5532735,prd_0aba258682b7,ecommerce,1,72.50
sal_65db1725073a,2025-12-13 14:04:52,cus_fa3a88d1ccef,prd_474405dcce41,ecommerce,1,67.90
sal_78c4265b9ab6,2025-12-13 12:45:27,cus_7262f4e5ce9f,prd_38c1b898aecc,loja_fisica,1,140.90
sal_47aa23ab705b,2025-12-13 18:34:02,cus_7262f4e5ce9f,prd_9239eec8982d,loja_fisica,1,49.39
sal_f5549d0205d6,2025-12-13 09:42:42,cus_c8d383cfde0c,prd_08fc82e8b75d,ecommerce,4,131.00
sal_27ce54747e2a,2025-12-13 13:50:27,cus_f64907d41a69,prd_4ee65ed59110,ecommerce,2,39.80
sal_d145d6ac7d89,2025-12-13 16:28:23,cus_639110db69ed,prd_6eca734f2e84,ecommerce,1,227.99
sal_a12761f6cae9,2025-12-13 08:18:26,cus_9d2dd4770a79,prd_4ee65ed59110,loja_fisica,2,41.90
sal_b6f5e2db37c0,2025-12-13 12:33:30,cus_c8d383cfde0c,prd_4ee65ed59110,loja_fisica,1,41.90
sal_b06d1636740e,2025-12-13 08:01:54,cus_c8d383cfde0c,prd_dfac11815029,loja_fisica,3,170.10
sal_da0d3e2b4fdc,2025-12-13 16:21:35,cus_8fa04d3a5837,prd_82cd17cb589d,loja_fisica,1,44.90
sal_8c943a22df5f,2025-12-13 18:01:47,cus_c3944101594c,prd_6d4e3b1efd0c,ecommerce,1,1025.99
sal_c23b96b6dfbe,2025-12-13 08:36:06,cus_7262f4e5ce9f,prd_30518d908a92,ecommerce,1,80.99
sal_0b6e04ee3ea5,2025-12-13 18:33:40,cus_508a15ccf0fa,prd_8b22fd85d500,ecommerce,1,324.99
sal_452ee6d1df35,2025-12-13 16:52:43,cus_4e62d52db97a,prd_205f309c1a21,ecommerce,1,34.99
sal_f4dad3d699f2,2025-12-13 10:07:11,cus_a9747473c5c6,prd_b7490508211e,ecommerce,1,209.00
sal_54212d50717d,2025-12-13 18:40:34,cus_66677d443e5e,prd_951e09f3ecb1,loja_fisica,1,48.99
sal_54991ad8fc7e,2025-12-13 10:53:28,cus_c3944101594c,prd_694bd92302c1,loja_fisica,1,92.90
sal_6c640e30ebb1,2025-12-14 14:32:41,cus_2b1b3e2a1515,prd_eda682ecfacb,ecommerce,2,171.00
sal_9f003e12829d,2025-12-14 08:50:48,cus_8ad3c8745efb,prd_84a009f1889d,ecommerce,1,29.61
sal_6bae5e8f8f9e,2025-12-14 18:35:32,cus_f64907d41a69,prd_dfac11815029,loja_fisica,2,189.00
sal_17cae2eb11d5,2025-12-14 19:48:46,cus_79d52b75f259,prd_afd58e5fd09d,ecommerce,2,429.30
sal_1ec7b2e2a82a,2025-12-14 08:28:16,cus_c8d383cfde0c,prd_815b38747487,ecommerce,5,77.85
sal_100166cd0cc6,2025-12-14 10:55:45,cus_c3944101594c,prd_645f7859f379,ecommerce,2,438.21
sal_7b8e43ec6471,2025-12-14 21:34:17,cus_644bf6820c61,prd_23664e42a71c,loja_fisica,1,104.41
sal_2fb4aef047e1,2025-12-14 23:08:48,cus_7262f4e5ce9f,prd_64000b956cf3,loja_fisica,2,258.90
sal_5e122f704ac3,2025-12-14 20:09:45,cus_36595eecf105,prd_a4025bac91a7,loja_fisica,1,52.90
sal_ed6be258bd31,2025-12-14 18:24:28,cus_d2762f5968fe,prd_2255432fabe7,loja_fisica,1,107.99
sal_7b4a7fbe5ff7,2025-12-14 17:29:31,cus_36595eecf105,prd_2293732b7542,loja_fisica,2,62.01
sal_bd4b494745f4,2025-12-14 17:54:04,cus_7262f4e5ce9f,prd_d500fa66507e,loja_fisica,2,384.99
sal_e539223e2d52,2025-12-14 13:21:35,cus_ec8d75866856,prd_2cbafff50c72,ecommerce,1,95.86
sal_436d96fb43f0,2025-12-14 08:40:50,cus_884be6e0ce9a,prd_2293732b7542,loja_fisica,1,68.90
sal_632fe3df2edb,2025-12-14 01:12:44,cus_6ff11137142d,prd_0347eab01a6c,ecommerce,2,532.10
sal_d2b411ae0688,2025-12-14 10:16:05,cus_a9747473c5c6,prd_76ede0cece8f,ecommerce,1,58.00
sal_14dc4687d198,2025-12-14 16:27:41,cus_a01814ad9247,prd_4ee65ed59110,ecommerce,1,39.80
sal_7a2396c07b9a,2025-12-14 18:00:00,cus_66677d443e5e,prd_d51f590876b9,loja_fisica,1,58.90
sal_98c7d888c4a1,2025-12-14 11:05:46,cus_d4db3db9eccb,prd_dfac11815029,ecommerce,1,189.00
sal_64547b9523cb,2025-12-14 20:41:43,cus_a2e18141f826,prd_30518d908a92,ecommerce,1,80.99
sal_1bbfbe2763d3,2025-12-14 20:58:26,cus_c3944101594c,prd_645f7859f379,ecommerce,2,486.90
sal_5718381f6286,2025-12-14 11:22:27,cus_508a15ccf0fa,prd_b7490508211e,ecommerce,1,209.00
sal_bee390aa1f7c,2025-12-14 17:49:44,cus_0914bdf6e1fe,prd_a7c360e156c0,loja_fisica,1,163.39
sal_4d1b7fbdec8a,2025-12-14 11:18:41,cus_d36c11b261a6,prd_06c19781c3db,loja_fisica,1,100.90
sal_eef95c34d6f4,2025-12-14 15:33:56,cus_96658dc10aa5,prd_5744e3f88341,loja_fisica,1,163.97
sal_b1ff243d9284,2025-12-14 17:34:43,cus_25d1cb23f872,prd_f063f46a7ef8,loja_fisica,1,1357.54
sal_658ad8474ca2,2025-12-14 09:02:59,cus_d2762f5968fe,prd_b09d96e599b3,ecommerce,1,203.90
sal_adb3e650c350,2025-12-14 18:05:40,cus_a8f8e01eaee8,prd_56e08463d21c,ecommerce,1,223.90
sal_0b95a2ef740b,2025-12-14 09:34:20,cus_639110db69ed,prd_3bee9877eb80,loja_fisica,1,45.50
sal_6709aa97759f,2025-12-14 16:03:15,cus_a01814ad9247,prd_645f7859f379,ecommerce,1,486.90
sal_689a5053a607,2025-12-14 20:07:00,cus_4e62d52db97a,prd_e561d57f2a21,ecommerce,3,116.99
sal_d13bef48d759,2025-12-14 21:10:23,cus_25c656241a9a,prd_c29b93111bd9,ecommerce,2,186.21
sal_bb22c60d4e5f,2025-12-14 11:17:33,cus_d2762f5968fe,prd_f79cf82f8ee0,ecommerce,1,219.90
sal_faaf372372b6,2025-12-14 13:54:36,cus_25d1cb23f872,prd_23664e42a71c,loja_fisica,2,104.41
sal_dc5d8bfd1306,2025-12-14 08:02:54,cus_31874cf2d1e5,prd_a4025bac91a7,ecommerce,1,52.90
sal_b0fbb0f58cf0,2025-12-14 19:35:51,cus_6ff11137142d,prd_d8ec0b81e223,ecommerce,1,371.90
sal_0b05a2a6d1a2,2025-12-14 21:52:04,cus_ec8d75866856,prd_334f4a32f979,ecommerce,1,404.50
sal_f0462ce54717,2025-12-14 15:25:04,cus_31874cf2d1e5,prd_694bd92302c1,loja_fisica,1,92.90
sal_46dd9d399967,2025-12-14 17:12:18,cus_ec8d75866856,prd_205f309c1a21,ecommerce,1,33.24
sal_9caaed27e2e8,2025-12-14 16:46:57,cus_f50da5532735,prd_474405dcce41,ecommerce,3,67.90
sal_4fe087a068d0,2025-12-14 15:21:00,cus_b0026583b709,prd_8b22fd85d500,loja_fisica,1,324.99
sal_bb5da56afbe0,2025-12-14 01:31:03,cus_96658dc10aa5,prd_b7490508211e,ecommerce,1,220.00
sal_146380321f0a,2025-12-14 22:44:57,cus_a9747473c5c6,prd_9d7b9035daa0,ecommerce,1,191.90
sal_1494ff9181c5,2025-12-14 19:37:36,cus_d2762f5968fe,prd_c1f6dcbed826,ecommerce,1,163.97
sal_32ee563ca12f,2025-12-14 22:44:53,cus_0343c0763f76,prd_205f309c1a21,ecommerce,1,34.99
sal_cdeb98e760c1,2025-12-14 19:09:06,cus_25d1cb23f872,prd_f063f46a7ef8,ecommerce,1,1571.89
sal_743ff3b621e4,2025-12-14 10:29:16,cus_fa3a88d1ccef,prd_4ee65ed59110,loja_fisica,1,37.71
sal_4139be1b02fa,2025-12-14 16:53:54,cus_36595eecf105,prd_4ee65ed59110,ecommerce,1,41.90
sal_8ee4f4d57971,2025-12-14 17:52:11,cus_0914bdf6e1fe,prd_d500fa66507e,ecommerce,2,384.99
sal_568efe448a07,2025-12-14 16:07:00,cus_d2762f5968fe,prd_c29b93111bd9,ecommerce,1,206.90
sal_60b3f9856fcb,2025-12-14 15:37:37,cus_3580317ddeab,prd_3dd1d39581ca,ecommerce,1,45.04
sal_c98f85d6907b,2025-12-14 16:05:57,cus_fa3a88d1ccef,prd_1e4ccab8af1a,ecommerce,3,111.90
sal_3b8424bb9bab,2025-12-14 22:52:46,cus_639110db69ed,prd_84a009f1889d,ecommerce,1,32.90
sal_8eeb17c5bbbf,2025-12-14 10:28:56,cus_a2e18141f826,prd_a479149bae3b,ecommerce,1,87.99
sal_63c405bdf12a,2025-12-14 22:03:05,cus_eae005fd3470,prd_334f4a32f979,ecommerce,2,404.50
sal_d5f0f946498f,2025-12-14 15:24:50,cus_4e62d52db97a,prd_f063f46a7ef8,loja_fisica,1,1357.54
sal_fec4b6b02966,2025-12-14 13:11:01,cus_508a15ccf0fa,prd_afd58e5fd09d,loja_fisica,2,451.90
sal_f30fa08593a4,2025-12-14 01:49:37,cus_13af118ef4e8,prd_9d7b9035daa0,ecommerce,1,191.90
sal_7c0da56c13bb,2025-12-14 19:48:14,cus_ec8d75866856,prd_4a5427b33a63,ecommerce,3,86.79
sal_2dca9f8f391c,2025-12-14 09:37:20,cus_d4db3db9eccb,prd_dd8079e89b90,loja_fisica,1,76.41
sal_1fb31d3d5cba,2025-12-14 20:36:12,cus_884be6e0ce9a,prd_3e585d1aaf6c,loja_fisica,1,209.90
sal_783137917f1d,2025-12-14 08:14:38,cus_1a38731e1fbe,prd_30518d908a92,ecommerce,3,80.99
sal_1568d23c0cb5,2025-12-14 09:58:51,cus_fa3a88d1ccef,prd_92c0ecf60a58,ecommerce,1,153.77
sal_1cf223eeb8ae,2025-12-14 21:04:23,cus_4e62d52db97a,prd_c1f6dcbed826,ecommerce,1,192.90
sal_b65425df1715,2025-12-14 23:50:40,cus_96658dc10aa5,prd_f1f39e56f84d,ecommerce,4,52.24
sal_391479cebe47,2025-12-14 21:14:42,cus_644bf6820c61,prd_045813f96891,ecommerce,1,142.99
sal_b38f234513f6,2025-12-14 22:54:49,cus_96658dc10aa5,prd_84a009f1889d,ecommerce,3,36.19
sal_acdb524e9277,2025-12-14 08:59:31,cus_a2e18141f826,prd_6742b65088d8,ecommerce,4,41.99
sal_c3bdd71d519a,2025-12-14 19:52:45,cus_418af67b6b28,prd_a17c779dd289,ecommerce,1,64.90
sal_bbf2ec4a2e23,2025-12-14 17:16:50,cus_f64907d41a69,prd_2293732b7542,ecommerce,2,75.79
sal_f28cb1856d82,2025-12-14 22:56:24,cus_c8d383cfde0c,prd_8b22fd85d500,loja_fisica,2,308.74
sal_093bcb12e417,2025-12-14 20:10:28,cus_d2762f5968fe,prd_289cf61bbd5e,ecommerce,1,110.55
sal_abea576c9309,2025-12-14 09:56:24,cus_25d1cb23f872,prd_38c1b898aecc,loja_fisica,4,140.90
sal_9db6166528ee,2025-12-14 01:45:01,cus_8fa04d3a5837,prd_fd4be5bad76d,ecommerce,1,140.90
sal_a5033b813ce3,2025-12-14 12:26:44,cus_f50da5532735,prd_d205de276c20,ecommerce,1,64.99
sal_fd7fff040913,2025-12-14 11:36:35,cus_884be6e0ce9a,prd_b7490508211e,ecommerce,1,220.00
sal_266785bd5dba,2025-12-14 18:12:06,cus_0914bdf6e1fe,prd_045813f96891,ecommerce,1,128.69
sal_eda0a688682f,2025-12-14 13:30:31,cus_df9e0b31fa20,prd_a4025bac91a7,ecommerce,1,52.90
sal_e7066ac6a973,2025-12-14 12:28:02,cus_eae005fd3470,prd_f063f46a7ef8,ecommerce,1,1428.99
sal_73a96c299568,2025-12-14 19:05:42,cus_c8d383cfde0c,prd_c62100cc281c,loja_fisica,1,46.45
sal_6ee6f6abdb80,2025-12-14 22:34:43,cus_31874cf2d1e5,prd_f063f46a7ef8,loja_fisica,1,1428.99
sal_f79cad32f7ac,2025-12-14 19:32:36,cus_6ff11137142d,prd_47a25ae10c23,ecommerce,1,88.99
sal_aaf579e7a40a,2025-12-14 20:10:13,cus_d4db3db9eccb,prd_334f4a32f979,ecommerce,4,404.50
sal_fcf81bc56d11,2025-12-14 00:53:38,cus_3580317ddeab,prd_35a61bfe666d,loja_fisica,1,55.99
sal_4ca493fbd1e1,2025-12-14 13:54:17,cus_c9cd13d1ae9f,prd_ff56c9132964,ecommerce,1,203.29
sal_a66367203b0c,2025-12-14 19:26:09,cus_a2e18141f826,prd_2cbafff50c72,loja_fisica,3,85.77
sal_09095fb1c5b2,2025-12-14 15:50:18,cus_31874cf2d1e5,prd_0347eab01a6c,loja_fisica,1,594.70
sal_4e492b6bcdb2,2025-12-14 18:02:11,cus_eae005fd3470,prd_b7490508211e,ecommerce,1,220.00
sal_bd52d079e7fb,2025-12-14 21:44:15,cus_d36c11b261a6,prd_f063f46a7ef8,ecommerce,1,1428.99
sal_a7f760c9bee5,2025-12-14 21:17:53,cus_2b1b3e2a1515,prd_db8fc9e6fa53,ecommerce,2,1420.99
sal_5c89f35a9cf9,2025-12-14 23:49:52,cus_36595eecf105,prd_a17c779dd289,ecommerce,1,64.90
sal_e4f404fdd376,2025-12-14 22:47:31,cus_b0026583b709,prd_694bd92302c1,loja_fisica,1,92.90
sal_f4c9c99e6aeb,2025-12-14 14:25:08,cus_7262f4e5ce9f,prd_30518d908a92,ecommerce,1,68.84
sal_06865caefb00,2025-12-14 08:15:02,cus_79d52b75f259,prd_ff56c9132964,ecommerce,1,192.59
sal_32dd66519451,2025-12-14 15:43:01,cus_3580317ddeab,prd_d22d1b8b1502,ecommerce,4,1149.90
sal_37f78cb93d81,2025-12-14 17:10:53,cus_df9e0b31fa20,prd_0c5fb549e1c2,ecommerce,1,295.90
sal_747de0f8d3aa,2025-12-14 09:54:14,cus_b42a15933072,prd_7798c88cc490,ecommerce,1,465.50
sal_217b81aaa09e,2025-12-14 19:30:58,cus_25c656241a9a,prd_045813f96891,loja_fisica,1,135.84
sal_d6c6decf2b87,2025-12-14 21:27:57,cus_a9747473c5c6,prd_385035a5bc20,ecommerce,1,208.91
sal_d9c9f7d6e1f9,2025-12-14 22:37:06,cus_71308b76151a,prd_df1e44c528e0,loja_fisica,2,183.34
sal_e6ca28caa9e2,2025-12-15 17:19:43,cus_f64907d41a69,prd_38c1b898aecc,loja_fisica,1,119.77
sal_007c5f118db2,2025-12-15 14:57:41,cus_0ff4cceccc6f,prd_b7490508211e,loja_fisica,2,198.00
sal_65fa48e09b55,2025-12-15 22:42:20,cus_66677d443e5e,prd_a4ee2d52d1c5,ecommerce,5,213.90
sal_1d92280317a4,2025-12-15 18:47:02,cus_644bf6820c61,prd_08611917c0ae,loja_fisica,1,95.39
sal_85a7af55aa5d,2025-12-15 18:58:42,cus_c8d383cfde0c,prd_205f309c1a21,ecommerce,1,33.24
sal_669f4e8f61b5,2025-12-15 13:08:47,cus_3580317ddeab,prd_1e4ccab8af1a,loja_fisica,1,106.31
sal_29b077ffb84b,2025-12-15 12:14:22,cus_8ad3c8745efb,prd_2befc441dd56,ecommerce,2,228.99
sal_690d27cb9e4e,2025-12-15 18:54:07,cus_f1a06ae11717,prd_694bd92302c1,ecommerce,3,92.90
sal_2516f76c24ba,2025-12-15 19:55:43,cus_639110db69ed,prd_205f309c1a21,ecommerce,2,34.99
sal_46ea6bfb7974,2025-12-15 11:36:57,cus_6ff11137142d,prd_82cd17cb589d,ecommerce,1,40.41
sal_5ccb8eb30039,2025-12-15 16:20:40,cus_d36c11b261a6,prd_82cd17cb589d,ecommerce,2,42.65
sal_b0635f35cf4f,2025-12-15 08:08:39,cus_8fa04d3a5837,prd_645f7859f379,ecommerce,1,486.90
sal_cbc8d5c73aae,2025-12-15 17:00:57,cus_36595eecf105,prd_c9b4024b7b9e,ecommerce,1,90.72
sal_bf1ad6829fc9,2025-12-15 10:19:08,cus_f64907d41a69,prd_d22d1b8b1502,ecommerce,1,1149.90
sal_7a0026e7e0c6,2025-12-15 22:46:33,cus_644bf6820c61,prd_385035a5bc20,loja_fisica,5,219.90
sal_4e10fe580695,2025-12-15 21:48:12,cus_25d1cb23f872,prd_6442b103f637,loja_fisica,1,299.90
sal_11ba2ebf4009,2025-12-15 00:46:01,cus_644bf6820c61,prd_23664e42a71c,ecommerce,1,109.90
sal_7cdb7650acee,2025-12-15 21:49:34,cus_911b23c97589,prd_51511e44c92a,ecommerce,1,80.01
sal_d11b77982d74,2025-12-15 08:26:28,cus_639110db69ed,prd_c62100cc281c,ecommerce,1,46.45
sal_57962fa4b7dc,2025-12-15 17:26:42,cus_f64907d41a69,prd_30518d908a92,ecommerce,1,80.99
sal_c7e096614f9d,2025-12-15 19:18:07,cus_7262f4e5ce9f,prd_d22d1b8b1502,ecommerce,2,1034.91
sal_65af159d7087,2025-12-15 23:45:26,cus_0ff4cceccc6f,prd_84a009f1889d,ecommerce,1,27.96
sal_224525716d74,2025-12-15 12:00:42,cus_a01814ad9247,prd_dfac11815029,ecommerce,1,160.65
sal_d05e5e70de69,2025-12-15 19:46:46,cus_f64907d41a69,prd_a4025bac91a7,ecommerce,4,52.90
sal_1ac6c1566bd7,2025-12-15 15:52:11,cus_31874cf2d1e5,prd_3e42ffcc8dd9,ecommerce,1,67.90
sal_390bdf0c97f1,2025-12-15 08:00:54,cus_25c656241a9a,prd_08fc82e8b75d,ecommerce,2,151.69
sal_c9b8badc53a9,2025-12-15 14:05:23,cus_d4db3db9eccb,prd_045813f96891,ecommerce,4,142.99
